usuario_id,ingreso_mensual,gasto_mensual_promedio,deuda_mensual,ahorro_mensual_estimado,porcentaje_gastos_ingreso,nivel_endeudamiento,porcentaje_ahorro_ingreso,frecuencia_ahorro,perfil_financiero,estado
USR0001,3229.87,2790.94,548.36,438.93,86.41,16.98,13.59,Media,En riesgo,ACTIVO
USR0002,1612.95,1095.2,250.77,517.75,67.9,15.55,32.1,Alta,En observación,ACTIVO
USR0003,2075.64,1979.89,452.15,95.74,95.39,21.78,4.61,Baja,En riesgo,ACTIVO
USR0004,2773.62,1453.76,1368.23,1319.86,52.41,49.33,47.59,Alta,En riesgo,ACTIVO
USR0005,3372.71,2630.73,532.98,741.99,78.0,15.8,22.0,Alta,En observación,ACTIVO
USR0006,2768.13,1788.1,345.25,980.03,64.6,12.47,35.4,Alta,En observación,ACTIVO
USR0007,4042.8,3210.85,731.4,831.95,79.42,18.09,20.58,Alta,En observación,ACTIVO
USR0008,4249.71,3429.11,720.42,820.59,80.69,16.95,19.31,Media,En observación,ACTIVO
USR0009,2633.18,1020.45,153.97,1612.72,38.75,5.85,61.25,Alta,Saludable,ACTIVO
USR0010,4826.97,3356.33,758.01,1470.64,69.53,15.7,30.47,Alta,En observación,ACTIVO
USR0011,5962.05,4176.27,1011.48,1785.78,70.05,16.97,29.95,Alta,En observación,ACTIVO
USR0012,2395.29,1874.84,656.85,520.44,78.27,27.42,21.73,Alta,En observación,ACTIVO
USR0013,4876.05,3621.42,2569.28,1254.63,74.27,52.69,25.73,Alta,En riesgo,ACTIVO
USR0014,4733.35,4169.82,803.47,563.53,88.09,16.97,11.91,Media,En riesgo,ACTIVO
USR0015,1839.19,1219.52,120.53,619.67,66.31,6.55,33.69,Alta,En observación,ACTIVO
USR0016,2667.45,2046.72,394.39,620.73,76.73,14.79,23.27,Alta,En observación,ACTIVO
USR0017,2803.61,1645.24,1158.78,1158.38,58.68,41.33,41.32,Alta,En riesgo,ACTIVO
USR0018,2539.44,1928.35,521.56,611.09,75.94,20.54,24.06,Alta,En observación,ACTIVO
USR0019,1599.39,1427.76,249.75,171.62,89.27,15.62,10.73,Media,En riesgo,ACTIVO
USR0020,3677.25,3428.25,415.81,249.01,93.23,11.31,6.77,Baja,En riesgo,ACTIVO
USR0021,4028.63,1526.29,241.45,2502.33,37.89,5.99,62.11,Alta,Saludable,ACTIVO
USR0022,1325.91,927.88,174.68,398.03,69.98,13.17,30.02,Alta,En observación,ACTIVO
USR0023,2800.4,1890.87,381.94,909.53,67.52,13.64,32.48,Alta,En observación,ACTIVO
USR0024,1764.64,1342.24,402.22,422.4,76.06,22.79,23.94,Alta,En observación,ACTIVO
USR0025,4423.67,3502.45,1352.13,921.22,79.18,30.57,20.82,Alta,En observación,ACTIVO
USR0026,4818.71,3819.75,1213.93,998.96,79.27,25.19,20.73,Alta,En observación,ACTIVO
USR0027,2213.7,1599.9,1100.3,613.79,72.27,49.7,27.73,Alta,En riesgo,ACTIVO
USR0028,2933.56,2624.61,117.51,308.95,89.47,4.01,10.53,Media,En riesgo,ACTIVO
USR0029,5563.87,3285.45,864.93,2278.43,59.05,15.55,40.95,Alta,Saludable,ACTIVO
USR0030,3209.06,1897.48,504.51,1311.58,59.13,15.72,40.87,Alta,Saludable,ACTIVO
USR0031,4113.5,1788.66,35.79,2324.84,43.48,0.87,56.52,Alta,Saludable,ACTIVO
USR0032,2189.64,1582.8,459.81,606.83,72.29,21.0,27.71,Alta,En observación,ACTIVO
USR0033,5716.84,5138.44,1479.6,578.39,89.88,25.88,10.12,Media,En riesgo,ACTIVO
USR0034,2056.28,1850.87,292.57,205.41,90.01,14.23,9.99,Baja,En riesgo,ACTIVO
USR0035,4883.85,3388.12,297.31,1495.73,69.37,6.09,30.63,Alta,En observación,INACTIVO
USR0036,2521.26,1436.75,1299.03,1084.52,56.99,51.52,43.01,Alta,En riesgo,INACTIVO
USR0037,2688.9,1754.12,521.12,934.78,65.24,19.38,34.76,Alta,En observación,ACTIVO
USR0038,3354.42,2316.74,258.24,1037.68,69.07,7.7,30.93,Alta,En observación,ACTIVO
USR0039,3113.53,2492.04,1333.52,621.49,80.04,42.83,19.96,Media,En riesgo,ACTIVO
USR0040,2147.98,1685.77,576.62,462.21,78.48,26.84,21.52,Alta,En observación,ACTIVO
USR0041,4896.63,2761.21,829.82,2135.42,56.39,16.95,43.61,Alta,Saludable,ACTIVO
USR0042,4921.67,3187.69,708.76,1733.98,64.77,14.4,35.23,Alta,En observación,ACTIVO
USR0043,3993.01,2916.17,834.78,1076.84,73.03,20.91,26.97,Alta,En observación,INACTIVO
USR0044,2274.7,1590.24,990.92,684.46,69.91,43.56,30.09,Alta,En riesgo,ACTIVO
USR0045,3823.89,2036.7,503.86,1787.18,53.26,13.18,46.74,Alta,Saludable,ACTIVO
USR0046,2312.42,1354.33,109.93,958.09,58.57,4.75,41.43,Alta,Saludable,ACTIVO
USR0047,3672.76,2290.63,397.1,1382.13,62.37,10.81,37.63,Alta,En observación,ACTIVO
USR0048,2536.88,1566.06,409.87,970.82,61.73,16.16,38.27,Alta,En observación,ACTIVO
USR0049,6822.08,2984.91,16.89,3837.16,43.75,0.25,56.25,Alta,Saludable,ACTIVO
USR0050,2546.32,1979.23,590.63,567.09,77.73,23.2,22.27,Alta,En observación,ACTIVO
USR0051,3350.02,2713.11,860.62,636.91,80.99,25.69,19.01,Media,En observación,INACTIVO
USR0052,4967.92,4858.24,317.11,109.68,97.79,6.38,2.21,Baja,En riesgo,ACTIVO
USR0053,2007.97,1638.81,199.75,369.16,81.62,9.95,18.38,Media,En observación,ACTIVO
USR0054,2660.56,2066.17,1299.14,594.39,77.66,48.83,22.34,Alta,En riesgo,ACTIVO
USR0055,5891.6,2891.1,158.18,3000.51,49.07,2.68,50.93,Alta,Saludable,ACTIVO
USR0056,3923.72,3531.08,1348.4,392.64,89.99,34.37,10.01,Media,En riesgo,ACTIVO
USR0057,3447.87,2911.73,703.53,536.14,84.45,20.4,15.55,Media,En observación,ACTIVO
USR0058,3237.79,2135.02,761.71,1102.77,65.94,23.53,34.06,Alta,En observación,ACTIVO
USR0059,6393.63,3999.04,964.7,2394.59,62.55,15.09,37.45,Alta,En observación,ACTIVO
USR0060,6026.68,4577.5,1277.72,1449.18,75.95,21.2,24.05,Alta,En observación,ACTIVO
USR0061,2586.28,1435.51,989.23,1150.77,55.5,38.25,44.5,Alta,En riesgo,ACTIVO
USR0062,2272.22,1325.96,304.0,946.26,58.36,13.38,41.64,Alta,Saludable,ACTIVO
USR0063,3452.4,2082.03,590.52,1370.37,60.31,17.1,39.69,Alta,En observación,INACTIVO
USR0064,3383.09,3315.33,287.26,67.76,98.0,8.49,2.0,Baja,En riesgo,ACTIVO
USR0065,3837.11,3625.12,297.53,211.99,94.48,7.75,5.52,Baja,En riesgo,ACTIVO
USR0066,3340.37,1463.73,1783.65,1876.63,43.82,53.4,56.18,Alta,En riesgo,ACTIVO
USR0067,2639.8,1648.76,986.18,991.03,62.46,37.36,37.54,Alta,En riesgo,ACTIVO
USR0068,1327.25,1058.04,681.4,269.21,79.72,51.34,20.28,Alta,En riesgo,ACTIVO
USR0069,3330.74,2492.55,588.96,838.19,74.83,17.68,25.17,Alta,En observación,ACTIVO
USR0070,6490.54,3919.28,678.0,2571.25,60.38,10.45,39.62,Alta,En observación,ACTIVO
USR0071,4961.68,3032.63,488.23,1929.05,61.12,9.84,38.88,Alta,En observación,ACTIVO
USR0072,4922.26,3461.42,1890.08,1460.84,70.32,38.4,29.68,Alta,En riesgo,ACTIVO
USR0073,5030.07,4334.23,234.91,695.83,86.17,4.67,13.83,Media,En riesgo,ACTIVO
USR0074,2397.44,1818.05,566.31,579.38,75.83,23.62,24.17,Alta,En observación,INACTIVO
USR0075,5732.18,3487.68,372.95,2244.5,60.84,6.51,39.16,Alta,En observación,INACTIVO
USR0076,1319.22,714.62,533.55,604.6,54.17,40.44,45.83,Alta,En riesgo,ACTIVO
USR0077,1872.45,1436.52,962.28,435.93,76.72,51.39,23.28,Alta,En riesgo,ACTIVO
USR0078,4905.3,3227.51,1356.8,1677.79,65.8,27.66,34.2,Alta,En observación,ACTIVO
USR0079,3683.19,1544.0,503.84,2139.19,41.92,13.68,58.08,Alta,Saludable,ACTIVO
USR0080,3623.73,3024.08,396.03,599.65,83.45,10.93,16.55,Media,En observación,ACTIVO
USR0081,4375.11,2095.39,210.54,2279.73,47.89,4.81,52.11,Alta,Saludable,ACTIVO
USR0082,2293.76,2026.44,371.76,267.33,88.35,16.21,11.65,Media,En riesgo,ACTIVO
USR0083,3050.86,2668.28,1184.11,382.58,87.46,38.81,12.54,Media,En riesgo,ACTIVO
USR0084,3823.51,2033.5,96.06,1790.0,53.18,2.51,46.82,Alta,Saludable,ACTIVO
USR0085,6226.36,5660.35,412.86,566.01,90.91,6.63,9.09,Baja,En riesgo,ACTIVO
USR0086,3460.72,2963.47,385.97,497.24,85.63,11.15,14.37,Media,En riesgo,ACTIVO
USR0087,4563.05,1772.06,360.19,2790.99,38.83,7.89,61.17,Alta,Saludable,ACTIVO
USR0088,1794.97,1266.44,251.65,528.54,70.55,14.02,29.45,Alta,En observación,ACTIVO
USR0089,4043.21,2550.24,685.23,1492.97,63.07,16.95,36.93,Alta,En observación,ACTIVO
USR0090,2342.79,818.1,111.97,1524.69,34.92,4.78,65.08,Alta,Saludable,ACTIVO
USR0091,1647.46,1100.77,190.2,546.69,66.82,11.55,33.18,Alta,En observación,ACTIVO
USR0092,4836.51,3003.29,413.1,1833.23,62.1,8.54,37.9,Alta,En observación,ACTIVO
USR0093,5505.79,4876.14,686.07,629.65,88.56,12.46,11.44,Media,En riesgo,ACTIVO
USR0094,4312.0,2255.57,728.69,2056.43,52.31,16.9,47.69,Alta,Saludable,ACTIVO
USR0095,3173.39,1843.72,356.72,1329.67,58.1,11.24,41.9,Alta,Saludable,INACTIVO
USR0096,6714.63,3809.34,768.2,2905.28,56.73,11.44,43.27,Alta,Saludable,ACTIVO
USR0097,2762.49,1052.5,175.74,1709.99,38.1,6.36,61.9,Alta,Saludable,ACTIVO
USR0098,3095.79,1711.09,384.07,1384.7,55.27,12.41,44.73,Alta,Saludable,ACTIVO
USR0099,4953.61,3756.67,809.45,1196.94,75.84,16.34,24.16,Alta,En observación,INACTIVO
USR0100,6277.34,3912.21,1369.58,2365.13,62.32,21.82,37.68,Alta,En observación,ACTIVO
USR0101,2243.38,1286.4,206.35,956.98,57.34,9.2,42.66,Alta,Saludable,ACTIVO
USR0102,3960.58,2675.2,247.7,1285.37,67.55,6.25,32.45,Alta,En observación,ACTIVO
USR0103,4486.85,3218.0,2187.21,1268.85,71.72,48.75,28.28,Alta,En riesgo,ACTIVO
USR0104,1377.79,603.39,711.92,774.4,43.79,51.67,56.21,Alta,En riesgo,ACTIVO
USR0105,1591.33,841.08,683.93,750.25,52.85,42.98,47.15,Alta,En riesgo,ACTIVO
USR0106,1423.22,982.25,239.96,440.98,69.02,16.86,30.98,Alta,En observación,ACTIVO
USR0107,2659.75,2083.18,631.04,576.57,78.32,23.73,21.68,Alta,En observación,ACTIVO
USR0108,2752.75,1655.92,412.72,1096.83,60.16,14.99,39.84,Alta,En observación,ACTIVO
USR0109,2743.66,1724.71,1023.52,1018.95,62.86,37.3,37.14,Alta,En riesgo,ACTIVO
USR0110,3233.56,1959.36,359.76,1274.2,60.59,11.13,39.41,Alta,En observación,ACTIVO
USR0111,2659.82,2015.64,362.33,644.18,75.78,13.62,24.22,Alta,En observación,ACTIVO
USR0112,2560.2,1324.05,166.34,1236.14,51.72,6.5,48.28,Alta,Saludable,ACTIVO
USR0113,6279.19,2667.94,905.78,3611.26,42.49,14.43,57.51,Alta,Saludable,ACTIVO
USR0114,2409.18,1801.33,116.18,607.85,74.77,4.82,25.23,Alta,En observación,ACTIVO
USR0115,3457.85,1986.58,292.82,1471.27,57.45,8.47,42.55,Alta,Saludable,ACTIVO
USR0116,5324.65,3304.97,540.5,2019.68,62.07,10.15,37.93,Alta,En observación,ACTIVO
USR0117,3170.7,1810.4,616.97,1360.3,57.1,19.46,42.9,Alta,Saludable,ACTIVO
USR0118,1359.29,1134.66,238.04,224.63,83.47,17.51,16.53,Media,En observación,ACTIVO
USR0119,3411.64,3166.41,687.43,245.23,92.81,20.15,7.19,Baja,En riesgo,ACTIVO
USR0120,6027.96,3628.0,827.69,2399.95,60.19,13.73,39.81,Alta,En observación,ACTIVO
USR0121,3692.98,2338.14,175.62,1354.84,63.31,4.76,36.69,Alta,En observación,ACTIVO
USR0122,2743.89,1431.64,1458.53,1312.26,52.18,53.16,47.82,Alta,En riesgo,ACTIVO
USR0123,4653.89,3668.46,1311.93,985.42,78.83,28.19,21.17,Alta,En observación,ACTIVO
USR0124,2269.62,1661.23,563.78,608.39,73.19,24.84,26.81,Alta,En observación,ACTIVO
USR0125,1515.44,1035.25,281.38,480.19,68.31,18.57,31.69,Alta,En observación,ACTIVO
USR0126,4777.49,3154.69,2001.09,1622.81,66.03,41.89,33.97,Alta,En riesgo,ACTIVO
USR0127,5089.07,1968.0,4.59,3121.06,38.67,0.09,61.33,Alta,Saludable,ACTIVO
USR0128,1804.43,1534.18,841.36,270.25,85.02,46.63,14.98,Media,En riesgo,ACTIVO
USR0129,5117.6,3096.7,269.1,2020.9,60.51,5.26,39.49,Alta,En observación,ACTIVO
USR0130,2024.48,1248.83,895.09,775.65,61.69,44.21,38.31,Alta,En riesgo,ACTIVO
USR0131,2642.11,1843.79,1077.88,798.32,69.78,40.8,30.22,Alta,En riesgo,ACTIVO
USR0132,3075.61,2283.28,803.75,792.33,74.24,26.13,25.76,Alta,En observación,ACTIVO
USR0133,4299.92,2712.32,430.55,1587.6,63.08,10.01,36.92,Alta,En observación,ACTIVO
USR0134,3668.44,3166.73,740.32,501.71,86.32,20.18,13.68,Media,En riesgo,ACTIVO
USR0135,2425.41,1078.96,360.74,1346.45,44.49,14.87,55.51,Alta,Saludable,ACTIVO
USR0136,5071.35,3901.72,2432.68,1169.63,76.94,47.97,23.06,Alta,En riesgo,ACTIVO
USR0137,2160.51,1385.86,113.91,774.65,64.15,5.27,35.85,Alta,En observación,ACTIVO
USR0138,4490.04,3739.51,1661.22,750.52,83.28,37.0,16.72,Media,En riesgo,ACTIVO
USR0139,2461.08,1980.75,748.42,480.33,80.48,30.41,19.52,Media,En observación,ACTIVO
USR0140,6198.98,5757.75,873.69,441.23,92.88,14.09,7.12,Baja,En riesgo,ACTIVO
USR0141,6858.75,3279.51,993.9,3579.23,47.82,14.49,52.18,Alta,Saludable,ACTIVO
USR0142,6881.0,5830.47,2829.37,1050.53,84.73,41.12,15.27,Media,En riesgo,ACTIVO
USR0143,2553.05,1674.51,454.03,878.55,65.59,17.78,34.41,Alta,En observación,ACTIVO
USR0144,4429.73,2244.29,87.17,2185.44,50.66,1.97,49.34,Alta,Saludable,ACTIVO
USR0145,4454.2,3457.14,832.78,997.05,77.62,18.7,22.38,Alta,En observación,ACTIVO
USR0146,2189.73,1173.94,860.52,1015.79,53.61,39.3,46.39,Alta,En riesgo,ACTIVO
USR0147,6236.76,4355.09,1043.91,1881.67,69.83,16.74,30.17,Alta,En observación,ACTIVO
USR0148,3551.77,2506.56,826.87,1045.21,70.57,23.28,29.43,Alta,En observación,ACTIVO
USR0149,6525.38,4198.44,867.25,2326.94,64.34,13.29,35.66,Alta,En observación,ACTIVO
USR0150,4825.34,4749.34,567.16,75.99,98.43,11.75,1.57,Baja,En riesgo,ACTIVO
USR0151,5970.33,3789.46,461.38,2180.87,63.47,7.73,36.53,Alta,En observación,ACTIVO
USR0152,2159.64,1435.82,178.5,723.83,66.48,8.27,33.52,Alta,En observación,INACTIVO
USR0153,2996.02,1577.74,304.87,1418.28,52.66,10.18,47.34,Alta,Saludable,ACTIVO
USR0154,3127.15,2185.19,647.72,941.95,69.88,20.71,30.12,Alta,En observación,ACTIVO
USR0155,4409.98,3982.81,469.24,427.17,90.31,10.64,9.69,Baja,En riesgo,ACTIVO
USR0156,5368.61,3025.11,1154.97,2343.51,56.35,21.51,43.65,Alta,En observación,ACTIVO
USR0157,4740.04,2682.61,633.56,2057.43,56.59,13.37,43.41,Alta,Saludable,ACTIVO
USR0158,5818.76,3815.41,1162.01,2003.35,65.57,19.97,34.43,Alta,En observación,ACTIVO
USR0159,2794.81,2457.38,343.25,337.43,87.93,12.28,12.07,Media,En riesgo,ACTIVO
USR0160,5166.0,3002.79,580.89,2163.21,58.13,11.24,41.87,Alta,Saludable,ACTIVO
USR0161,4268.55,2941.49,349.03,1327.07,68.91,8.18,31.09,Alta,En observación,ACTIVO
USR0162,4848.09,2942.14,331.96,1905.94,60.69,6.85,39.31,Alta,En observación,ELIMINADO
USR0163,4184.77,3038.65,812.96,1146.12,72.61,19.43,27.39,Alta,En observación,ACTIVO
USR0164,3413.31,2725.35,582.82,687.96,79.84,17.07,20.16,Alta,En observación,ACTIVO
USR0165,2840.74,1688.04,405.46,1152.7,59.42,14.27,40.58,Alta,Saludable,ACTIVO
