transaction_id,usuario_id,fecha,descripcion,monto,moneda,categoria,recurrente,medio_pago
TX001925,USR0042,2026-06-28,Servicio de limpieza,1792.13,USD,Vivienda,No,Pago con QR
TX000182,USR0056,2025-10-19,Cena,200,USD,Alimentación,No,Débito automático
TX002502,USR0095,2026-04-13,Parque recreativo,8.25,USD,Ocio,No,Pago con QR
TX001868,USR0027,2025-08-24,Compra de muebles,175.95,USD,Vivienda,Sí,Billetera virtual
TX002539,USR0071,2026-05-08,Suscripción de música,82.79,USD,Ocio,No,Pago con QR
TX002865,USR0053,2026-01-24,Suscripción de música,162.3,USD,Ocio,No,Billetera virtual
TX001949,USR0020,2026-06-17,Seguro del hogar,1135.58,USD,Vivienda,Sí,Billetera virtual
TX003462,USR0028,2025-09-25,Gas,305.22,USD,Servicios,Sí,Débito automático
TX004088,USR0034,2026-04-26,Gasto eventual,406.45,USD,Otros,Sí,Billetera virtual
TX000510,USR0082,2026-03-28,Taxi,97.71,USD,Transporte,No,Efectivo
TX002850,USR0070,2025-10-04,Concierto,240.3,USD,Ocio,No,Tarjeta de crédito
TX002671,USR0070,2026-05-15,Videojuego,96.18,USD,Ocio,No,Tarjeta de débito
TX000151,USR0068,2026-07-14,Almuerzo,66.86,USD,Alimentación,No,Transferencia bancaria
TX003800,USR0065,2025-09-07,Artículos personales,404.7,USD,Compras,No,Tarjeta de crédito
TX004045,USR0089,2026-05-08,Compra no identificada,500,USD,Otros,Sí,Pago con QR
TX004036,USR0071,2025-09-04,Cargo administrativo,317.55,USD,Otros,No,Transferencia bancaria
TX002203,USR0071,2026-05-22,Curso online,390.36,USD,Educación,No,Débito automático
TX001260,USR0075,2026-05-02,Medicamentos,26.69,USD,Salud,No,Tarjeta de crédito
TX004150,USR0052,2025-08-17,Otro gasto,254.86,USD,Otros,No,Débito automático
TX000372,USR0075,2025-11-14,Compra de alimentos,106.32,USD,Alimentación,No,Pago con QR
TX003501,USR0072,2025-08-15,Compra de herramientas,539.89,USD,Compras,No,Transferencia bancaria
TX001610,USR0084,2025-11-11,Materiales de construcción,1166.15,USD,Vivienda,No,Pago con QR
TX000393,USR0098,2025-12-09,Comida a domicilio,30.83,USD,Alimentación,No,Pago con QR
TX002490,USR0093,2025-11-08,Papelería,432.42,USD,Educación,No,Tarjeta de crédito
TX000665,USR0059,2025-11-09,Mantenimiento del vehículo,98.15,USD,Transporte,No,Pago con QR
TX004271,USR0077,2025-10-01,Cargo administrativo,488.29,USD,Otros,No,Pago con QR
TX002876,USR0085,2026-06-30,Salida recreativa,47.76,USD,Ocio,Sí,Efectivo
TX003943,USR0098,2025-11-23,Compra para mascotas,95.22,USD,Compras,No,Efectivo
TX000474,USR0009,2026-05-18,Verdulería,200,USD,Alimentación,No,Débito automático
TX001024,USR0046,2026-06-15,Lentes,500,USD,Salud,No,Pago con QR
TX002449,USR0005,2026-07-09,Material de estudio,369.29,USD,Educación,No,Tarjeta de débito
TX001410,USR0023,2025-10-21,Farmacia,35.31,USD,Salud,No,Efectivo
TX001590,USR0086,2026-06-27,Compra de muebles,2000,USD,Vivienda,No,Tarjeta de débito
TX003083,USR0078,2025-12-03,Gas,45.73,USD,Servicios,Sí,Efectivo
TX003110,USR0082,2025-10-02,Servicio de internet,119.47,USD,Servicios,Sí,Tarjeta de débito
TX001037,USR0085,2026-03-12,Seguro de salud,17.45,USD,Salud,Sí,Billetera virtual
TX001944,USR0099,2025-11-06,Materiales de construcción,180.12,USD,Vivienda,No,Tarjeta de crédito
TX000457,USR0013,2025-08-09,Verdulería,200,USD,Alimentación,No,Transferencia bancaria
TX001966,USR0095,2026-07-05,Materiales de construcción,2000,USD,Vivienda,No,Efectivo
TX002835,USR0038,2026-01-10,Concierto,268.23,USD,Ocio,No,Tarjeta de crédito
TX001765,USR0084,2026-04-26,Alquiler,623.32,USD,Vivienda,Sí,Tarjeta de débito
TX002025,USR0082,2026-07-12,Cuota educativa,566.95,USD,Educación,Sí,Transferencia bancaria
TX001614,USR0011,2025-11-15,Hipoteca,223.81,USD,Vivienda,Sí,Efectivo
TX003247,USR0028,2026-03-04,Electricidad,139.24,USD,Servicios,Sí,Efectivo
TX004406,USR0017,2026-01-21,Otro gasto,500,USD,Otros,No,Pago con QR
TX000789,USR0075,2026-05-07,Viaje por aplicación,16.01,USD,Transporte,No,Débito automático
TX001066,USR0100,2026-02-03,Terapia,500,USD,Salud,No,Tarjeta de crédito
TX004254,USR0024,2025-11-20,Otro gasto,134.45,USD,Otros,No,Tarjeta de débito
TX000691,USR0004,2025-08-13,Estacionamiento,154.85,USD,Transporte,Sí,Transferencia bancaria
TX000890,USR0079,2026-03-25,Pasaje de autobús,125.49,USD,Transporte,No,Débito automático
TX000944,USR0062,2025-11-13,Combustible,171.54,USD,Transporte,No,Transferencia bancaria
TX001619,USR0099,2026-06-18,Reparación del hogar,640.14,USD,Vivienda,Sí,Tarjeta de débito
TX002476,USR0025,2026-06-03,Papelería,1000,USD,Educación,Sí,Débito automático
TX004445,USR0012,2026-05-08,Otro gasto,500,USD,Otros,No,Efectivo
TX002062,USR0083,2026-03-13,Plataforma educativa,89.7,USD,Educación,Sí,Débito automático
TX002732,USR0041,2025-11-01,Entrada de cine,188.37,USD,Ocio,Sí,Tarjeta de crédito
TX002964,USR0038,2025-09-29,Actividad recreativa,159.02,USD,Ocio,No,Tarjeta de débito
TX003574,USR0065,2025-09-03,Compra para mascotas,427.52,USD,Compras,Sí,Efectivo
TX003161,USR0046,2025-09-15,Telefonía móvil,46.64,USD,Servicios,Sí,Pago con QR
TX002760,USR0074,2025-12-08,Actividad recreativa,287.78,USD,Ocio,No,Tarjeta de crédito
TX002590,USR0084,2026-06-21,Videojuego,125.2,USD,Ocio,No,Transferencia bancaria
TX000660,USR0015,2025-09-26,Pasaje de tren,32.98,USD,Transporte,No,Efectivo
TX003994,USR0099,2025-11-06,Compra por internet,349.04,USD,Compras,No,Tarjeta de débito
TX002650,USR0057,2025-09-25,Hobby,239.99,USD,Ocio,No,Billetera virtual
TX003453,USR0100,2025-12-06,Servicio de internet,226.12,USD,Servicios,Sí,Transferencia bancaria
TX002888,USR0043,2026-06-07,Evento cultural,112.36,USD,Ocio,Sí,Billetera virtual
