usuario_id,ingreso_mensual,deuda_mensual,nivel_endeudamiento,gasto_mensual_promedio,ahorro_mensual_estimado,porcentaje_gastos_ingreso,frecuencia_ahorro,perfil_financiero,ratio_gasto_ingreso,ratio_deuda_ingreso,ratio_ahorro_ingreso,cantidad_transacciones,monto_total,monto_promedio_transaccion,monto_mediano,monto_maximo,desviacion_montos,cantidad_recurrentes,cantidad_transacciones_grandes,categorias_distintas,ratio_deuda_ingreso_calculado,ratio_gasto_ingreso_calculado,ratio_ahorro_ingreso_calculado
USR0001,3352.84,548.36,16.36,2874.48,-70.01,85.73,Nunca,En riesgo,0.8573269228474965,0.16355090013242504,-0.02088080552606149,79,74727.83,945.9218987341773,576.33,3311.94,1017.7585267107825,28,12,11,0.16355090013242504,0.8573269228474965,-0.02088080552606149
USR0002,1836.28,256.31,13.96,1051.04,528.93,57.24,Alta,Saludable,0.5723745833968675,0.13958110963469625,0.28804430696843614,77,34647.73,449.9705194805195,244.72,1638.34,522.5094611102526,25,15,12,0.13958110963469625,0.5723745833968675,0.28804430696843614
USR0003,2230.96,452.15,20.27,1883.82,-105.01,84.44,Nunca,En riesgo,0.8443988238247212,0.20267059920393013,-0.047069423028651344,75,49377.4,658.3653333333333,399.28,2121.51,659.7425834396349,18,13,13,0.20267059920393013,0.8443988238247212,-0.047069423028651344
USR0004,2740.1,1368.23,49.93,1450.06,-78.19,52.92,Nunca,En riesgo,0.5291996642458304,0.4993357906645743,-0.02853545491040473,75,50281.93,670.4257333333334,305.35,2753.9,892.9531280912992,25,12,11,0.4993357906645743,0.5291996642458304,-0.02853545491040473
USR0005,3341.83,579.82,17.35,2588.31,173.69,77.45,Baja,En observación,0.7745187517019119,0.1735037389693671,0.051974516956278444,72,71161.67,988.3565277777777,601.0799999999999,3436.9,1086.548313891365,35,12,10,0.1735037389693671,0.7745187517019119,0.051974516956278444
USR0006,2594.84,357.84,13.79,1697.41,539.58,65.42,Alta,En observación,0.6541482326463288,0.1379044565368192,0.2079434570146907,72,51506.99,715.374861111111,390.92499999999995,2671.76,861.7819415818599,30,12,9,0.1379044565368192,0.6541482326463288,0.2079434570146907
USR0007,4093.0,780.53,19.07,3149.88,162.58,76.96,Baja,En riesgo,0.7695773271439043,0.190698753970193,0.03972147569020279,72,86914.58,1207.1469444444444,668.755,4193.58,1334.1427651551703,23,12,10,0.190698753970193,0.7695773271439043,0.03972147569020279
USR0008,4454.15,772.98,17.35,3252.42,428.74,73.02,Baja,En observación,0.7301999259117902,0.17354152868673037,0.09625630030421069,83,92478.83,1114.2027710843374,707.19,4264.71,1309.0756224995998,28,12,13,0.17354152868673037,0.7301999259117902,0.09625630030421069
USR0009,3101.29,153.97,4.96,1070.25,1877.07,34.51,Alta,Saludable,0.3450983300497535,0.04964708234315398,0.6052545876070925,84,50058.51,595.9346428571429,250.64999999999998,2649.05,839.205570492507,28,17,13,0.04964708234315398,0.3450983300497535,0.6052545876070925
USR0010,4815.18,774.28,16.08,3245.08,795.82,67.39,Media,En observación,0.6739270390722673,0.1607998039533309,0.16527315697440179,73,96723.16,1324.974794520548,721.57,4902.39,1585.0098388479325,27,12,10,0.1607998039533309,0.6739270390722673,0.16527315697440179
