transaction_id,usuario_id,fecha,descripcion,monto,moneda,tipo,categoria,recurrente,medio_pago
TX001394,USR0368,2025-12-29,Cena,162.45,USD,GASTO,Alimentación,Sí,Transferencia bancaria
TX022929,USR0218,2025-10-10,Materiales de construcción,62.77,USD,GASTO,Vivienda,No,Efectivo
TX028460,USR0952,2025-09-18,Certificación profesional,267.55,USD,GASTO,Educación,No,Transferencia bancaria
TX035742,USR0405,2026-01-10,Concierto,145.37,USD,GASTO,Ocio,No,Transferencia bancaria
TX043949,USR0225,2026-02-18,Agua,400,USD,GASTO,Servicios,Sí,Tarjeta de crédito
TX045992,USR0580,2026-03-06,Electricidad,136.14,USD,GASTO,Servicios,Sí,Transferencia bancaria
TX034541,USR0885,2026-06-05,Hobby,101.71,USD,GASTO,Ocio,No,Efectivo
TX061998,USR0119,2025-12-02,Pago del empleador,2950.11,USD,INGRESO,Salario,Sí,Efectivo
TX049294,USR0376,2026-04-07,Compra de cosmética,853.31,USD,GASTO,Compras,No,Transferencia bancaria
TX029246,USR0546,2026-05-17,Compra de libros,418.97,USD,GASTO,Educación,No,Efectivo
TX037785,USR0412,2026-05-09,Evento cultural,209.47,USD,GASTO,Ocio,No,Efectivo
TX059584,USR0637,2025-10-11,Comisión bancaria,500,USD,GASTO,Otros,No,Efectivo
TX068585,USR0513,2025-12-03,Depósito de haberes,5463.71,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX024439,USR0373,2026-04-01,Compra de muebles,1581.3,USD,GASTO,Vivienda,Sí,Billetera digital
TX024422,USR0010,2026-02-11,Seguro del hogar,1078.38,USD,GASTO,Vivienda,Sí,Pago con QR
TX018466,USR0506,2026-06-19,Kinesiología,57.16,USD,GASTO,Salud,No,Transferencia bancaria
TX044671,USR0410,2026-01-24,Gas,115.18,USD,GASTO,Servicios,Sí,Billetera digital
TX059176,USR0201,2025-08-14,Comisión bancaria,500,USD,GASTO,Otros,No,Efectivo
TX074027,USR0833,2025-11-07,Transferencia recibida,794.11,USD,INGRESO,Transferencia recibida,No,Acreditación automática
TX006186,USR0784,2025-09-08,Comida a domicilio,19.13,USD,GASTO,Alimentación,No,Transferencia bancaria
TX026746,USR0784,2026-03-26,Plataforma educativa,983.9,USD,GASTO,Educación,Sí,Billetera digital
TX063771,USR0226,2025-12-09,Pago de salario,6603.52,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX029326,USR0463,2026-05-18,Compra de libros,1000,USD,GASTO,Educación,No,Pago con QR
TX021151,USR0814,2026-07-06,Mantenimiento del hogar,703.01,USD,GASTO,Vivienda,No,Tarjeta de débito
TX043870,USR0346,2026-02-20,Electricidad,72.52,USD,GASTO,Servicios,Sí,Transferencia bancaria
TX032540,USR0001,2025-07-17,Certificación profesional,752.1,USD,GASTO,Educación,No,Tarjeta de débito
TX053254,USR0932,2025-10-08,Compra de herramientas,511.64,USD,GASTO,Compras,No,Transferencia bancaria
TX058426,USR0234,2025-09-21,Ajuste de cuenta,223.88,USD,GASTO,Otros,No,Billetera digital
TX034853,USR0970,2025-09-27,Hobby,300,USD,GASTO,Ocio,No,Efectivo
TX038538,USR0748,2026-05-29,Salida recreativa,276.31,USD,GASTO,Ocio,No,Pago con QR
TX029711,USR0503,2026-02-06,Material de estudio,868.52,USD,GASTO,Educación,No,Tarjeta de crédito
TX000288,USR0925,2026-05-24,Compra de alimentos,140.94,USD,GASTO,Alimentación,No,Billetera digital
TX053625,USR0898,2026-06-01,Ajuste de cuenta,500,USD,GASTO,Otros,No,Billetera digital
TX009415,USR0570,2025-08-10,Combustible,66.89,USD,GASTO,Transporte,No,Transferencia bancaria
TX071193,USR0669,2026-04-05,Pago de salario,3785.38,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX065119,USR0306,2025-09-01,Remuneración mensual,3618.64,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX013184,USR0967,2026-01-28,Peaje,48.7,USD,GASTO,Transporte,No,Transferencia bancaria
TX015423,USR0698,2026-05-20,Terapia,261.78,USD,GASTO,Salud,No,Tarjeta de débito
TX027827,USR0203,2026-05-20,Cuota educativa,53.0,USD,GASTO,Educación,Sí,Pago con QR
TX075957,USR0950,2025-12-04,Pago de salario,2399.76,USD,INGRESO,Salario,Sí,Efectivo
TX024688,USR0496,2025-11-09,Materiales de construcción,1985.41,USD,GASTO,Vivienda,No,Transferencia bancaria
TX063300,USR0197,2025-07-27,Venta de servicio,855.73,USD,INGRESO,Venta,No,Billetera digital
TX002678,USR0849,2026-07-04,Panadería,84.25,USD,GASTO,Alimentación,No,Billetera digital
TX067791,USR0465,2026-03-14,Ingreso por venta,1910.48,USD,INGRESO,Venta,No,Transferencia bancaria
TX027005,USR0293,2026-04-08,Cuota educativa,634.93,USD,GASTO,Educación,Sí,Pago con QR
TX002947,USR0201,2026-04-19,Carnicería,107.56,USD,GASTO,Alimentación,No,Billetera digital
TX071657,USR0696,2026-05-25,Transferencia entrante,421.5,USD,INGRESO,Transferencia recibida,No,Efectivo
TX045082,USR0517,2026-01-21,Telefonía fija,400,USD,GASTO,Servicios,Sí,Transferencia bancaria
TX056915,USR0575,2026-05-19,Gasto eventual,83.85,USD,GASTO,Otros,No,Pago con QR
TX028949,USR0043,2025-10-14,Compra de libros,28.18,USD,GASTO,Educación,No,Tarjeta de débito
TX008668,USR0109,2026-06-17,Pasaje de tren,115.34,USD,GASTO,Transporte,No,Efectivo
TX048355,USR0378,2026-04-22,Compra de cosmética,551.66,USD,GASTO,Compras,No,Tarjeta de crédito
TX044226,USR0777,2026-06-22,Pago de impuestos,251.78,USD,GASTO,Servicios,No,Transferencia bancaria
TX000851,USR0859,2026-04-06,Verdulería,12.22,USD,GASTO,Alimentación,No,Débito automático
TX052918,USR0102,2026-04-24,Compra de herramientas,615.68,USD,GASTO,Compras,No,Débito automático
TX015838,USR0424,2026-01-05,Odontología,236.26,USD,GASTO,Salud,No,Débito automático
TX043373,USR0926,2025-11-07,Telefonía móvil,46.44,USD,GASTO,Servicios,Sí,Tarjeta de crédito
TX048468,USR0803,2026-01-11,Compra de accesorios,334.63,USD,GASTO,Compras,No,Tarjeta de crédito
TX042763,USR0111,2025-10-20,Servicio de internet,133.93,USD,GASTO,Servicios,Sí,Billetera digital
TX047822,USR0469,2026-07-17,Compra de tecnología,224.17,USD,GASTO,Compras,Sí,Billetera digital
TX055674,USR0422,2026-02-19,Gasto eventual,201.83,USD,GASTO,Otros,No,Tarjeta de débito
TX054195,USR0441,2026-04-27,Ajuste de cuenta,500,USD,GASTO,Otros,No,Pago con QR
TX056859,USR0272,2025-07-29,Comisión bancaria,138.51,USD,GASTO,Otros,No,Débito automático
TX002721,USR0283,2025-10-03,Verdulería,79.74,USD,GASTO,Alimentación,No,Transferencia bancaria
TX050015,USR0278,2025-11-24,Compra para mascotas,201.17,USD,GASTO,Compras,No,Pago con QR
TX072172,USR0725,2026-05-07,Sueldo mensual,4939.67,USD,INGRESO,Salario,Sí,Acreditación automática
TX035884,USR0067,2025-12-28,Parque recreativo,95.3,USD,GASTO,Ocio,No,Billetera digital
TX052125,USR0495,2025-08-31,Compra para mascotas,1000,USD,GASTO,Compras,No,Transferencia bancaria
TX011828,USR0705,2026-02-21,Combustible,7.77,USD,GASTO,Transporte,No,Tarjeta de débito
TX024697,USR0108,2026-02-07,Compra de muebles,282.47,USD,GASTO,Vivienda,No,Tarjeta de débito
TX039603,USR0725,2026-04-12,Entrada de cine,102.32,USD,GASTO,Ocio,No,Débito automático
TX045612,USR0270,2025-10-21,Telefonía móvil,43.21,USD,GASTO,Servicios,Sí,Efectivo
TX013149,USR0706,2026-02-09,Carga de tarjeta de transporte,149.86,USD,GASTO,Transporte,Sí,Tarjeta de crédito
TX057861,USR0984,2025-10-16,Pago extraordinario,446.3,USD,GASTO,Otros,Sí,Tarjeta de crédito
TX016933,USR0151,2025-11-16,Medicamentos,295.94,USD,GASTO,Salud,No,Transferencia bancaria
TX063263,USR0195,2026-03-31,Ajuste a favor,180.35,USD,INGRESO,Reintegro,No,Transferencia bancaria
TX020326,USR0107,2026-04-21,Seguro del hogar,933.0,USD,GASTO,Vivienda,Sí,Billetera digital
TX062262,USR0135,2025-12-06,Acreditación de salario,5316.47,USD,INGRESO,Salario,Sí,Billetera digital
TX036613,USR0483,2026-01-09,Salida recreativa,26.01,USD,GASTO,Ocio,No,Transferencia bancaria
TX045301,USR0113,2025-12-14,Servicio de mantenimiento,400,USD,GASTO,Servicios,No,Billetera digital
TX076341,USR0972,2025-12-10,Remuneración mensual,2350.92,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX011392,USR0884,2026-05-21,Pasaje de tren,40.31,USD,GASTO,Transporte,No,Efectivo
TX052144,USR0837,2025-07-23,Compra de herramientas,1000,USD,GASTO,Compras,No,Tarjeta de crédito
TX064376,USR0262,2026-05-01,Depósito de haberes,2470.04,USD,INGRESO,Salario,Sí,Transferencia bancaria
TX027230,USR0251,2025-11-13,Papelería,544.91,USD,GASTO,Educación,Sí,Transferencia bancaria
TX023636,USR0180,2026-01-05,Reparación de electrodoméstico,670.67,USD,GASTO,Vivienda,Sí,Pago con QR
TX063182,USR0190,2026-02-23,Pago recibido por venta,1009.08,USD,INGRESO,Venta,No,Acreditación automática
TX051316,USR0521,2026-02-06,Compra para mascotas,58.18,USD,GASTO,Compras,Sí,Billetera digital
TX023502,USR0319,2026-03-23,Reparación del hogar,553.21,USD,GASTO,Vivienda,No,Efectivo
TX021350,USR0205,2025-11-08,Servicio de limpieza,504.74,USD,GASTO,Vivienda,Sí,Billetera digital
TX010169,USR0547,2026-04-29,Viaje por aplicación,144.81,USD,GASTO,Transporte,No,Transferencia bancaria
TX062667,USR0160,2026-06-07,Acreditación de salario,2747.24,USD,INGRESO,Salario,Sí,Efectivo
TX042195,USR0873,2026-07-08,Telefonía móvil,400,USD,GASTO,Servicios,Sí,Billetera digital
TX074170,USR0841,2026-03-17,Transferencia recibida,391.12,USD,INGRESO,Transferencia recibida,No,Transferencia bancaria
TX039021,USR0414,2026-02-07,Servicio de streaming,300,USD,GASTO,Ocio,Sí,Transferencia bancaria
TX002821,USR0833,2026-06-16,Panadería,112.76,USD,GASTO,Alimentación,No,Débito automático
TX008093,USR0126,2026-04-15,Mantenimiento del vehículo,15.43,USD,GASTO,Transporte,No,Tarjeta de crédito
TX011430,USR0426,2026-06-10,Mantenimiento del vehículo,2.03,USD,GASTO,Transporte,Sí,Tarjeta de débito
TX016618,USR0735,2026-05-24,Farmacia,21.98,USD,GASTO,Salud,Sí,Billetera digital
TX019284,USR0148,2025-12-08,Seguro de salud,500,USD,GASTO,Salud,Sí,Billetera digital
TX014496,USR0607,2026-02-24,Kinesiología,34.04,USD,GASTO,Salud,No,Tarjeta de crédito
TX047205,USR0102,2026-03-22,Compra de electrodoméstico,499.28,USD,GASTO,Compras,No,Efectivo
TX062370,USR0142,2025-08-05,Pago del empleador,4706.17,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX037793,USR0261,2026-02-12,Videojuego,175.91,USD,GASTO,Ocio,No,Efectivo
TX014599,USR0171,2026-02-01,Farmacia,500,USD,GASTO,Salud,Sí,Tarjeta de crédito
